uf,tipo_doenca,local_obito,faixa_etaria,sexo,total
AC,OUTRAS,DOMICILIO,"< 9",F,7
AC,OUTRAS,DOMICILIO,"< 9",M,12
AC,OUTRAS,HOSPITAL,"< 9",F,47
AC,OUTRAS,HOSPITAL,"< 9",M,45
AC,OUTRAS,OUTRO,"< 9",F,4
AC,OUTRAS,OUTRO,"< 9",M,3
AC,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AC,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AC,OUTRAS,VIA_PUBLICA,"< 9",M,1
AC,COVID,HOSPITAL,"< 9",F,2
AC,COVID,HOSPITAL,"< 9",M,9
AC,INDETERMINADA,DOMICILIO,"< 9",M,1
AC,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,2
AC,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,7
AC,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,1
AC,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,17
AC,PNEUMONIA,DOMICILIO,"< 9",M,2
AC,PNEUMONIA,HOSPITAL,"< 9",F,15
AC,PNEUMONIA,HOSPITAL,"< 9",M,22
AC,PNEUMONIA,OUTRO,"< 9",M,1
AC,SEPTICEMIA,DOMICILIO,"< 9",M,1
AC,SEPTICEMIA,HOSPITAL,"< 9",F,38
AC,SEPTICEMIA,HOSPITAL,"< 9",M,59
AC,SRAG,HOSPITAL,"< 9",F,3
AL,OUTRAS,DOMICILIO,"< 9",F,12
AL,OUTRAS,DOMICILIO,"< 9",M,23
AL,OUTRAS,HOSPITAL,"< 9",F,223
AL,OUTRAS,HOSPITAL,"< 9",I,7
AL,OUTRAS,HOSPITAL,"< 9",M,260
AL,OUTRAS,IGNORADO,"< 9",M,1
AL,OUTRAS,OUTRO,"< 9",F,2
AL,OUTRAS,OUTRO,"< 9",M,4
AL,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,8
AL,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,7
AL,OUTRAS,VIA_PUBLICA,"< 9",F,2
AL,OUTRAS,VIA_PUBLICA,"< 9",M,4
AL,COVID,HOSPITAL,"< 9",F,7
AL,COVID,HOSPITAL,"< 9",M,5
AL,COVID,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AL,INDETERMINADA,DOMICILIO,"< 9",F,1
AL,INDETERMINADA,HOSPITAL,"< 9",F,1
AL,INDETERMINADA,HOSPITAL,"< 9",M,1
AL,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,2
AL,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,22
AL,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,2
AL,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,36
AL,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
AL,PNEUMONIA,HOSPITAL,"< 9",F,14
AL,PNEUMONIA,HOSPITAL,"< 9",M,22
AL,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AL,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AL,SEPTICEMIA,HOSPITAL,"< 9",F,74
AL,SEPTICEMIA,HOSPITAL,"< 9",M,90
AL,SRAG,HOSPITAL,"< 9",F,3
AL,SRAG,HOSPITAL,"< 9",M,3
AM,OUTRAS,DOMICILIO,"< 9",F,25
AM,OUTRAS,DOMICILIO,"< 9",M,41
AM,OUTRAS,HOSPITAL,"< 9",F,292
AM,OUTRAS,HOSPITAL,"< 9",I,9
AM,OUTRAS,HOSPITAL,"< 9",M,341
AM,OUTRAS,IGNORADO,"< 9",M,1
AM,OUTRAS,OUTRO,"< 9",F,8
AM,OUTRAS,OUTRO,"< 9",M,15
AM,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,4
AM,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,11
AM,OUTRAS,VIA_PUBLICA,"< 9",M,1
AM,COVID,HOSPITAL,"< 9",F,6
AM,COVID,HOSPITAL,"< 9",M,15
AM,COVID,OUTRO,"< 9",M,1
AM,INDETERMINADA,DOMICILIO,"< 9",F,1
AM,INDETERMINADA,HOSPITAL,"< 9",M,2
AM,INDETERMINADA,OUTRO,"< 9",M,1
AM,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,5
AM,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,34
AM,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,1
AM,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,36
AM,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,1
AM,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AM,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
AM,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",M,1
AM,PNEUMONIA,DOMICILIO,"< 9",F,4
AM,PNEUMONIA,DOMICILIO,"< 9",M,2
AM,PNEUMONIA,HOSPITAL,"< 9",F,47
AM,PNEUMONIA,HOSPITAL,"< 9",M,52
AM,PNEUMONIA,OUTRO,"< 9",F,1
AM,PNEUMONIA,OUTRO,"< 9",M,1
AM,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AM,SEPTICEMIA,DOMICILIO,"< 9",F,1
AM,SEPTICEMIA,DOMICILIO,"< 9",M,2
AM,SEPTICEMIA,HOSPITAL,"< 9",F,117
AM,SEPTICEMIA,HOSPITAL,"< 9",M,170
AM,SEPTICEMIA,OUTRO,"< 9",F,1
AM,SEPTICEMIA,OUTRO,"< 9",M,1
AM,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,4
AM,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,3
AM,SRAG,HOSPITAL,"< 9",F,5
AM,SRAG,HOSPITAL,"< 9",M,8
AP,OUTRAS,DOMICILIO,"< 9",F,2
AP,OUTRAS,HOSPITAL,"< 9",F,36
AP,OUTRAS,HOSPITAL,"< 9",I,1
AP,OUTRAS,HOSPITAL,"< 9",M,33
AP,OUTRAS,OUTRO,"< 9",F,4
AP,OUTRAS,OUTRO,"< 9",M,4
AP,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AP,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AP,COVID,HOSPITAL,"< 9",M,2
AP,INDETERMINADA,HOSPITAL,"< 9",F,1
AP,INDETERMINADA,HOSPITAL,"< 9",M,1
AP,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,1
AP,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,1
AP,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,5
AP,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,1
AP,PNEUMONIA,HOSPITAL,"< 9",F,6
AP,PNEUMONIA,HOSPITAL,"< 9",M,9
AP,PNEUMONIA,OUTRO,"< 9",M,1
AP,SEPTICEMIA,HOSPITAL,"< 9",F,21
AP,SEPTICEMIA,HOSPITAL,"< 9",M,21
AP,SEPTICEMIA,OUTRO,"< 9",M,1
AP,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AP,SRAG,HOSPITAL,"< 9",F,3
AP,SRAG,HOSPITAL,"< 9",M,1
BA,OUTRAS,DOMICILIO,"< 9",F,48
BA,OUTRAS,DOMICILIO,"< 9",M,66
BA,OUTRAS,HOSPITAL,"< 9",F,585
BA,OUTRAS,HOSPITAL,"< 9",I,29
BA,OUTRAS,HOSPITAL,"< 9",M,702
BA,OUTRAS,IGNORADO,"< 9",I,1
BA,OUTRAS,IGNORADO,"< 9",M,4
BA,OUTRAS,OUTRO,"< 9",F,8
BA,OUTRAS,OUTRO,"< 9",M,9
BA,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,24
BA,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,37
BA,OUTRAS,VIA_PUBLICA,"< 9",F,6
BA,OUTRAS,VIA_PUBLICA,"< 9",M,6
BA,COVID,HOSPITAL,"< 9",F,15
BA,COVID,HOSPITAL,"< 9",I,1
BA,COVID,HOSPITAL,"< 9",M,24
BA,COVID,OUTRO,"< 9",F,1
BA,COVID,OUTROS_SERVICOS_SAUDE,"< 9",M,1
BA,INDETERMINADA,DOMICILIO,"< 9",M,1
BA,INDETERMINADA,HOSPITAL,"< 9",F,3
BA,INDETERMINADA,HOSPITAL,"< 9",M,2
BA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,5
BA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,3
BA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,193
BA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,4
BA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,251
BA,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",F,1
BA,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,2
BA,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,1
BA,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,9
BA,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,6
BA,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",F,1
BA,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",M,4
BA,PNEUMONIA,DOMICILIO,"< 9",F,3
BA,PNEUMONIA,HOSPITAL,"< 9",F,49
BA,PNEUMONIA,HOSPITAL,"< 9",M,53
BA,PNEUMONIA,IGNORADO,"< 9",F,1
BA,PNEUMONIA,OUTRO,"< 9",F,1
BA,PNEUMONIA,VIA_PUBLICA,"< 9",F,1
BA,SEPTICEMIA,DOMICILIO,"< 9",F,1
BA,SEPTICEMIA,HOSPITAL,"< 9",F,223
BA,SEPTICEMIA,HOSPITAL,"< 9",I,2
BA,SEPTICEMIA,HOSPITAL,"< 9",M,300
BA,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,8
BA,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,4
BA,SRAG,HOSPITAL,"< 9",F,13
BA,SRAG,HOSPITAL,"< 9",M,12
CE,OUTRAS,AMBULANCIA,"< 9",F,3
CE,OUTRAS,AMBULANCIA,"< 9",M,3
CE,OUTRAS,DOMICILIO,"< 9",F,20
CE,OUTRAS,DOMICILIO,"< 9",M,27
CE,OUTRAS,HOSPITAL,"< 9",F,521
CE,OUTRAS,HOSPITAL,"< 9",I,18
CE,OUTRAS,HOSPITAL,"< 9",M,566
CE,OUTRAS,IGNORADO,"< 9",F,30
CE,OUTRAS,IGNORADO,"< 9",M,32
CE,OUTRAS,OUTRO,"< 9",F,14
CE,OUTRAS,OUTRO,"< 9",M,11
CE,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,13
CE,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,16
CE,OUTRAS,VIA_PUBLICA,"< 9",F,4
CE,OUTRAS,VIA_PUBLICA,"< 9",I,1
CE,OUTRAS,VIA_PUBLICA,"< 9",M,4
CE,COVID,HOSPITAL,"< 9",F,23
CE,COVID,HOSPITAL,"< 9",M,17
CE,COVID,IGNORADO,"< 9",F,1
CE,COVID,IGNORADO,"< 9",M,3
CE,COVID,OUTROS_SERVICOS_SAUDE,"< 9",F,1
CE,INDETERMINADA,DOMICILIO,"< 9",F,1
CE,INDETERMINADA,DOMICILIO,"< 9",M,1
CE,INDETERMINADA,HOSPITAL,"< 9",F,3
CE,INDETERMINADA,HOSPITAL,"< 9",M,6
CE,INDETERMINADA,OUTRO,"< 9",M,1
CE,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
CE,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,5
CE,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,4
CE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,38
CE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,2
CE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,51
CE,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",F,5
CE,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",M,7
CE,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,1
CE,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
CE,PNEUMONIA,DOMICILIO,"< 9",M,1
CE,PNEUMONIA,HOSPITAL,"< 9",F,39
CE,PNEUMONIA,HOSPITAL,"< 9",M,43
CE,PNEUMONIA,IGNORADO,"< 9",F,4
CE,PNEUMONIA,IGNORADO,"< 9",M,6
CE,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
CE,SEPTICEMIA,AMBULANCIA,"< 9",M,1
CE,SEPTICEMIA,DOMICILIO,"< 9",M,1
CE,SEPTICEMIA,HOSPITAL,"< 9",F,99
CE,SEPTICEMIA,HOSPITAL,"< 9",M,153
CE,SEPTICEMIA,IGNORADO,"< 9",F,7
CE,SEPTICEMIA,IGNORADO,"< 9",M,12
CE,SEPTICEMIA,OUTRO,"< 9",M,1
CE,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,5
CE,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,7
CE,SRAG,HOSPITAL,"< 9",F,9
CE,SRAG,HOSPITAL,"< 9",M,5
CE,SRAG,IGNORADO,"< 9",M,1
DF,OUTRAS,DOMICILIO,"< 9",F,6
DF,OUTRAS,DOMICILIO,"< 9",M,2
DF,OUTRAS,HOSPITAL,"< 9",F,138
DF,OUTRAS,HOSPITAL,"< 9",I,4
DF,OUTRAS,HOSPITAL,"< 9",M,173
DF,OUTRAS,IGNORADO,"< 9",F,15
DF,OUTRAS,IGNORADO,"< 9",M,14
DF,OUTRAS,OUTRO,"< 9",M,2
DF,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,7
DF,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,5
DF,OUTRAS,VIA_PUBLICA,"< 9",F,2
DF,COVID,HOSPITAL,"< 9",F,4
DF,COVID,HOSPITAL,"< 9",M,2
DF,INDETERMINADA,HOSPITAL,"< 9",F,8
DF,INDETERMINADA,HOSPITAL,"< 9",M,2
DF,INDETERMINADA,IGNORADO,"< 9",M,2
DF,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,1
DF,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,33
DF,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,40
DF,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
DF,PNEUMONIA,HOSPITAL,"< 9",F,11
DF,PNEUMONIA,HOSPITAL,"< 9",M,17
DF,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
DF,SEPTICEMIA,DOMICILIO,"< 9",M,1
DF,SEPTICEMIA,HOSPITAL,"< 9",F,80
DF,SEPTICEMIA,HOSPITAL,"< 9",M,81
DF,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,2
DF,SRAG,HOSPITAL,"< 9",F,7
DF,SRAG,HOSPITAL,"< 9",M,4
ES,OUTRAS,DOMICILIO,"< 9",F,9
ES,OUTRAS,DOMICILIO,"< 9",M,18
ES,OUTRAS,HOSPITAL,"< 9",F,145
ES,OUTRAS,HOSPITAL,"< 9",I,1
ES,OUTRAS,HOSPITAL,"< 9",M,165
ES,OUTRAS,OUTRO,"< 9",F,3
ES,OUTRAS,OUTRO,"< 9",M,2
ES,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,6
ES,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,2
ES,OUTRAS,VIA_PUBLICA,"< 9",F,2
ES,OUTRAS,VIA_PUBLICA,"< 9",M,3
ES,COVID,HOSPITAL,"< 9",F,8
ES,COVID,HOSPITAL,"< 9",M,8
ES,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,1
ES,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,12
ES,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,1
ES,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,14
ES,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
ES,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
ES,PNEUMONIA,DOMICILIO,"< 9",M,1
ES,PNEUMONIA,HOSPITAL,"< 9",F,20
ES,PNEUMONIA,HOSPITAL,"< 9",M,28
ES,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
ES,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,3
ES,SEPTICEMIA,DOMICILIO,"< 9",F,1
ES,SEPTICEMIA,HOSPITAL,"< 9",F,81
ES,SEPTICEMIA,HOSPITAL,"< 9",M,92
ES,SRAG,HOSPITAL,"< 9",F,2
ES,SRAG,HOSPITAL,"< 9",M,1
GO,OUTRAS,DOMICILIO,"< 9",F,18
GO,OUTRAS,DOMICILIO,"< 9",M,14
GO,OUTRAS,HOSPITAL,"< 9",F,160
GO,OUTRAS,HOSPITAL,"< 9",I,2
GO,OUTRAS,HOSPITAL,"< 9",M,199
GO,OUTRAS,IGNORADO,"< 9",F,1
GO,OUTRAS,IGNORADO,"< 9",M,2
GO,OUTRAS,OUTRO,"< 9",F,8
GO,OUTRAS,OUTRO,"< 9",M,10
GO,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,15
GO,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,21
GO,OUTRAS,VIA_PUBLICA,"< 9",F,3
GO,OUTRAS,VIA_PUBLICA,"< 9",M,4
GO,COVID,HOSPITAL,"< 9",F,3
GO,COVID,HOSPITAL,"< 9",M,5
GO,COVID,OUTROS_SERVICOS_SAUDE,"< 9",F,1
GO,COVID,OUTROS_SERVICOS_SAUDE,"< 9",M,1
GO,INDETERMINADA,DOMICILIO,"< 9",M,1
GO,INDETERMINADA,HOSPITAL,"< 9",F,3
GO,INDETERMINADA,IGNORADO,"< 9",M,1
GO,INDETERMINADA,OUTRO,"< 9",M,1
GO,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
GO,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,2
GO,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,54
GO,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,1
GO,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,54
GO,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",M,1
GO,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,1
GO,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,1
GO,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,5
GO,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,7
